id,title,author,publisher,published_date,description,categories,language,page_count,average_rating,ratings_count,thumbnail,source
XG--8X3YDs4C,The Columbia Guide to Contemporary African American Fiction,Darryl Dickson-Carr,Columbia University Press,2005-10-14,"From Ishmael Reed and Toni Morrison to Colson Whitehead and Terry McMillan, Darryl Dickson-Carr offers a definitive guide to contemporary African American literature. This volume-the only reference work devoted exclusively to African American fiction of the last thirty-five years-presents a wealth of factual and interpretive information about the major authors, texts, movements, and ideas that have shaped contemporary African American fiction. In more than 160 concise entries, arranged alphabetically, Dickson-Carr discusses the careers, works, and critical receptions of Alice Walker, Gloria Naylor, Jamaica Kincaid, Charles Johnson, John Edgar Wideman, Leon Forrest, as well as other prominent and lesser-known authors. Each entry presents ways of reading the author's works, identifies key themes and influences, assesses the writer's overarching significance, and includes sources for further research. Dickson-Carr addresses the influence of a variety of literary movements, critical theories, and publishers of African American work. Topics discussed include the Black Arts Movement, African American postmodernism, feminism, and the influence of hip-hop, the blues, and jazz on African American novelists. In tracing these developments, Dickson-Carr examines the multitude of ways authors have portrayed the diverse experiences of African Americans. The Columbia Guide to Contemporary African American Fiction situates African American fiction in the social, political, and cultural contexts of post-Civil Rights era America: the drug epidemics of the 1980s and 1990s and the concomitant ""war on drugs,"" the legacy of the Civil Rights Movement, the struggle for gay rights, feminism, the rise of HIV/AIDS, and racism's continuing effects on African American communities. Dickson-Carr also discusses the debates and controversies regarding the role of literature in African American life. The volume concludes with an extensive annotated bibliography of African American fiction and criticism.",Literary Collections,en,292.0,,,http://books.google.com/books/content?id=XG--8X3YDs4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
uVw-SnIn8dgC,Science/fiction Collections,Halbert W. Hall,Psychology Press,1983,"Science/Fiction Collections offers different views and attitudes toward Science Fiction and Fantasy Literature and descriptions of a variety of collections. Written during a time when Science Fiction and Fantasy writings had just gained widespread popularity, it offers suggestions and considerations for approaching any special collection dealing with a relatively new field.",Fiction,en,194.0,,,http://books.google.com/books/content?id=uVw-SnIn8dgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
WmKYoVsTxroC,Major Trends in the Post-independence Indian English Fiction,"B. R. Agrawal, M. P. Sinha",Atlantic Publishers & Dist,2003,"This Book Presents A Reasonably Comprehensive Account Of The Development Of The Indian English Novel Since Independence. The Novel During The Colonial Period Has A Different Outlook And Was More Concerned With The Problems Of The Indian People Suffering Under The British Yoke. After Independence The Indian Writers Looked At The Indian Scene From The Postcolonial Point Of View. There Were New Hopes, No Doubt, But The Problems Social, Economic, Religious, Political And Familial That Were Submerged In The Flood Of The National Movement Emerged And Drew Attention Of The Creative Writers. The Partition, The Communal Riots After Partition, The Problem Of Casteism, The Subjugation Of Women, The Poverty Of The Illiterate Masses Became The Focal Points. Mulk Raj Anand, Raja Rao, R.K. Narayan, Nayantara Sahgal And Kamala Markandaya In The Beginning Wrote Novels Of Social Realism In The Fifties.But After The Sixties, New Trends Emerged. Writers Like Anita Desai, Ruth Prawer Jhabvala, Bhabani Bhattacharya, G.V. Desani, Chaman Nahal, Manohar Malgonkar And B. Rajan Portrayed The Picture Of The Post-Independence Indian Society. The Stream Of The Early Fifties Now Turned Into A Broad River With New Currents And Cross Currents. The Old Traditional Method Of Novel Writing Gave Way To Modern Techniques.The Indian English Novel Took Further Strides In The Eighties And The Decades That Followed It. Salman Rushdie Can Be Said To Be The Leader Of The New Trend. Shashi Deshpande And Arundhati Roy Followed Suit.This Book Divided Into Six Chapters Surveys And Discusses The Major Trends In The Post- Independence Indian English Novel. The Major Writers Discussed Apart From The Trio, R.K. Narayan, Raja Rao And Mulk Raj Anand Are Bhabani Bhattacharya, Nayantara Sahgal, Ruth Prawer Jhabvala, Anita Desai, Arundhati Roy And Kamala Markandaya.This Book Will Be Of Immense Help To The Students Of Indian English Fiction And The General Reader.",Indic fiction (English),en,300.0,,,http://books.google.com/books/content?id=WmKYoVsTxroC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
FHjheL8OXtUC,Crime Fiction,John Scaggs,Psychology Press,2005,"Provides a lively introduction to what is both a wide-ranging and hugely popular literary genre. Accessible and clear, this comprehensive overview is the essential guide for all those studying crime fiction.",Fiction,en,192.0,,,http://books.google.com/books/content?id=FHjheL8OXtUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
UgZsi_DOKoQC,Fan Fiction and Fan Communities in the Age of the Internet,"Karen Hellekson, Kristina Busse",McFarland,2014-09-17,"Fans have been responding to literary works since the days of Homer's Odyssey and Euripedes' Medea. More recently, a number of science fiction, fantasy, media, and game works have found devoted fan followings. The advent of the Internet has brought these groups from relatively limited, face-to-face enterprises to easily accessible global communities, within which fan texts proliferate and are widely read and even more widely commented upon. New interactions between readers and writers of fan texts are possible in these new virtual communities. From Star Trek to Harry Potter, the essays in this volume explore the world of fan fiction--its purposes, how it is created, how the fan experiences it. Grouped by subject matter, essays cover topics such as genre intersection, sexual relationships between characters, character construction through narrative, and the role of the beta reader in online communities. The work also discusses the terminology used by creators of fan artifacts and comments on the effects of technological advancements on fan communities. Instructors considering this book for use in a course may request an examination copy here.",Literary Criticism,en,297.0,,,http://books.google.com/books/content?id=UgZsi_DOKoQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
5Zpq0Rmm7hQC,The Distinction of Fiction,Dorrit Cohn,JHU Press,2000-12,"Winner of the Aldo and Jeanne Scaglione Prize for Comparative Literary Studies from the Modern Language Association Winner of the Modern Language Association's Aldo and Jeanne Scaglione Prize for Comparative Literary Studies The border between fact and fiction has been trespassed so often it seems to be a highway. Works of history that include fictional techniques are usually held in contempt, but works of fiction that include history are among the greatest of classics. Fiction claims to be able to convey its own unique kinds of truth. But unless a reader knows in advance whether a narrative is fictional or not, judgment can be frustrated and confused. In The Distinction of Fiction, Dorrit Cohn argues that fiction does present specific clues to its fictionality, and its own justifications. Indeed, except in cases of deliberate deception, fiction achieves its purposes best by exercising generic conventions that inform the reader that it is fiction. Cohn tests her conclusions against major narrative works, including Proust's A la Recherche du temps perdu, Mann's Death in Venice, Tolstoy's War and Peace, and Freud's case studies. She contests widespread poststructuralist views that all narratives are fictional. On the contrary, she separates fiction and nonfiction as necessarily distinct, even when bound together. An expansion of Cohn's Christian Gauss lectures at Princeton and the product of many years of labor and thought, The Distinction of Fiction builds on narratological and phenomenological theories to show that boundaries between fiction and history can be firmly and systematically explored.",Literary Criticism,en,214.0,,,http://books.google.com/books/content?id=5Zpq0Rmm7hQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
-8iD6iuO-iAC,New Boundaries in Political Science Fiction,"Donald M. Hassler, Clyde Wilcox",Univ of South Carolina Press,2008,"This book offers an interpretation of the evolution of a growing genre in literary, film, and television.As a follow-up to their 1997 collection """"Political Science Fiction"""" Hassler and Wilcox have assembled twenty-four noted international scholars representing diverse fields of inquiry to assess the influential voices and trends from the past decade in """"New Boundaries in Political Science Fiction"""". The terrors and technologies that permeate our daily lives have changed radically in the past decade, further highlighting the underlying speculations on our contested future that remain the core of this genre. In surveying the vast expanse of politically charged science fiction of recent years, the editors posit that the defining dilemma for these tales rests in whether identity and meaning germinate from progressive linear changes or progress or from a continuous return to primitive realities of war, death, and the competition for survival.The discussion of political implications ranges among writers from H. G. Wells, Robert A. Heinlein, Ursula Le Guin, and Isaac Asimov to more radical recent voices such as Iain M. Banks, William Gibson, Joanna Russ, Philip K. Dick, and China Mieville. While emphasizing the literature, the collection also addresses political science fiction found on film and television from the original """"Star Trek"""" through the newest incarnation of """"Battlestar Galactica"""".",Literary Criticism,en,382.0,,,http://books.google.com/books/content?id=-8iD6iuO-iAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
xq-jDAAAQBAJ,Fantasy and Science Fiction,Кулинцева Н. А.,Directmedia,2016-04-22,"Настоящее издание является учебным пособием по чтению на английском языке для студентов 2, 3 курсов отделения «Литературное творчество».",,ru,174.0,,,http://books.google.com/books/content?id=xq-jDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
lALGYRHmqycC,A Geography of Victorian Gothic Fiction,Robert Mighall,OUP Oxford,2003,"This is the first major full-length study of Victorian Gothic fiction. Combining original readings of familiar texts with a rich store of historical sources, A Geography of Victorian Gothic Fiction is an historicist survey of nineteenth-century Gothic writing--from Dickens to Stoker, Wilkie Collins to Conan Doyle, through European travelogues, sexological textbooks, ecclesiastic histories and pamphlets on the perils of self-abuse. Critics have thus far tended to concentrate on specific angles of Gothic writing (gender or race), or the belief that the Gothic 'returned' at the so-called fin de si cle. Robert Mighall, by contrast, demonstrates how the Gothic mode was active throughout the Victorian period, and provides historical explanations for its development from late eighteenth century, through the 'Urban Gothic' fictions of the mid-Victorian period, the 'Suburban Gothic' of the Sensation vogue, through to the somatic horrors of Stevenson, Machen, Stoker, and Doyle at the century's close. Mighall challenges the psychological approach to Gothic fiction which currently prevails, demonstrating the importance of geographical, historical, and discursive factors that have been largely neglected by critics, and employing a variety of original sources to demonstrate the contexts of Gothic fiction and explain its development in the Victorian period.",History,en,344.0,,,http://books.google.com/books/content?id=lALGYRHmqycC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
rRhNEQAAQBAJ,Как написать и издать самому книгу non-fiction,Серафима Суворова,ЛитРес,2025-03-06,"Как написать и издать самому книгу non-fiction.Данное руководство поможет определиться, стоит ли писать и издавать свою книгу non-fiction, что для этого нужно и можно ли на этом заработать. Книга – сказочный процесс или обычный труд?",Reference,ru,28.0,,,http://books.google.com/books/content?id=rRhNEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
