source,title,author,detail_link
project_gutenberg,"Moby Dick; Or, The Whale",Herman Melville,https://www.gutenberg.org/ebooks/2701
project_gutenberg,Alice's Adventures in Wonderland,Lewis Carroll,https://www.gutenberg.org/ebooks/11
project_gutenberg,The Adventures of Ferdinand Count Fathom — Complete,T. Smollett,https://www.gutenberg.org/ebooks/6761
project_gutenberg,Twenty years after,Alexandre Dumas and Auguste Maquet,https://www.gutenberg.org/ebooks/1259
project_gutenberg,The Adventures of Roderick Random,T. Smollett,https://www.gutenberg.org/ebooks/4085
project_gutenberg,The Adventures of Sherlock Holmes,Arthur Conan Doyle,https://www.gutenberg.org/ebooks/1661
project_gutenberg,Adventures of Huckleberry Finn,Mark Twain,https://www.gutenberg.org/ebooks/76
project_gutenberg,The Count of Monte Cristo,Alexandre Dumas and Auguste Maquet,https://www.gutenberg.org/ebooks/1184
project_gutenberg,Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,https://www.gutenberg.org/ebooks/2591
project_gutenberg,"The Adventures of Tom Sawyer, Complete",Mark Twain,https://www.gutenberg.org/ebooks/74
project_gutenberg,Treasure Island,Robert Louis Stevenson,https://www.gutenberg.org/ebooks/120
project_gutenberg,The Wonderful Wizard of Oz,L. Frank Baum,https://www.gutenberg.org/ebooks/55
project_gutenberg,Peter Pan :  [Peter and Wendy],J. M. Barrie,https://www.gutenberg.org/ebooks/16
project_gutenberg,Gulliver's Travels into Several Remote Nations of the World,Jonathan Swift,https://www.gutenberg.org/ebooks/829
project_gutenberg,"Golden Days for Boys and Girls, Vol. XII, Jan. 3, 1891",Various,https://www.gutenberg.org/ebooks/17199
project_gutenberg,The Life and Adventures of Robinson Crusoe,Daniel Defoe,https://www.gutenberg.org/ebooks/521
project_gutenberg,The Jungle Book,Rudyard Kipling,https://www.gutenberg.org/ebooks/236
project_gutenberg,Baron Trump's Marvellous Underground Journey,Ingersoll Lockwood,https://www.gutenberg.org/ebooks/57426
project_gutenberg,The Travels of Marco Polo — Volume 1,Marco Polo and da Pisa Rusticiano,https://www.gutenberg.org/ebooks/10636
project_gutenberg,Twenty Thousand Leagues under the Sea,Jules Verne,https://www.gutenberg.org/ebooks/164
project_gutenberg,A Journey to the Centre of the Earth,Jules Verne,https://www.gutenberg.org/ebooks/18857
project_gutenberg,The Works of Edgar Allan Poe — Volume 1,Edgar Allan Poe,https://www.gutenberg.org/ebooks/2147
project_gutenberg,The call of the wild,Jack London,https://www.gutenberg.org/ebooks/215
project_gutenberg,The three musketeers,Alexandre Dumas and Auguste Maquet,https://www.gutenberg.org/ebooks/1257
project_gutenberg,The Lady of the Lake,Walter Scott,https://www.gutenberg.org/ebooks/3011
project_gutenberg,Around the World in Eighty Days,Jules Verne,https://www.gutenberg.org/ebooks/103
project_gutenberg,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",Maurice Leblanc,https://www.gutenberg.org/ebooks/6133
project_gutenberg,Anabasis,Xenophon,https://www.gutenberg.org/ebooks/1170
project_gutenberg,The Return of Sherlock Holmes,Arthur Conan Doyle,https://www.gutenberg.org/ebooks/108
project_gutenberg,White Fang,Jack London,https://www.gutenberg.org/ebooks/910
project_gutenberg,The Railway Children,E. Nesbit,https://www.gutenberg.org/ebooks/1874
project_gutenberg,The Last of the Mohicans; A narrative of 1757,James Fenimore Cooper,https://www.gutenberg.org/ebooks/940
project_gutenberg,Nobody's Girl,Hector Malot,https://www.gutenberg.org/ebooks/27690
project_gutenberg,Twenty Thousand Leagues Under the Sea,Jules Verne,https://www.gutenberg.org/ebooks/20000
project_gutenberg,The Man Who Was Thursday: A Nightmare,G. K. Chesterton,https://www.gutenberg.org/ebooks/1695
project_gutenberg,"Le comte de Monte-Cristo, Tome I (French)",Alexandre Dumas and Auguste Maquet,https://www.gutenberg.org/ebooks/17989
project_gutenberg,Les trois mousquetaires (French),Alexandre Dumas and Auguste Maquet,https://www.gutenberg.org/ebooks/13951
project_gutenberg,Typee,Herman Melville,https://www.gutenberg.org/ebooks/23969
project_gutenberg,Martin Chuzzlewit,Charles Dickens,https://www.gutenberg.org/ebooks/968
project_gutenberg,A Princess of Mars,Edgar Rice Burroughs,https://www.gutenberg.org/ebooks/62
project_gutenberg,The Merry Adventures of Robin Hood,Howard Pyle,https://www.gutenberg.org/ebooks/10148
project_gutenberg,A Journey to the Center of the Earth,Jules Verne,https://www.gutenberg.org/ebooks/19513
project_gutenberg,Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,Jules Verne,https://www.gutenberg.org/ebooks/2488
project_gutenberg,Tarzan of the Apes,Edgar Rice Burroughs,https://www.gutenberg.org/ebooks/23712
project_gutenberg,Gulliver's Travels into Several Remote Regions of the World,Jonathan Swift,https://www.gutenberg.org/ebooks/17157
project_gutenberg,The Open Boat and Other Stories,Stephen Crane,https://www.gutenberg.org/ebooks/45524
project_gutenberg,Kidnapped,Robert Louis Stevenson,https://www.gutenberg.org/ebooks/421
project_gutenberg,The Adventures of Pinocchio,Carlo Collodi,https://www.gutenberg.org/ebooks/500
project_gutenberg,"Moby-Dick; or, The Whale",Herman Melville,https://www.gutenberg.org/ebooks/15
project_gutenberg,平妖傳 (Chinese),Guanzhong Luo and Menglong Feng,https://www.gutenberg.org/ebooks/57227
project_gutenberg,The Mysterious Island,Jules Verne,https://www.gutenberg.org/ebooks/1268
project_gutenberg,西遊記 (Chinese),Cheng'en Wu,https://www.gutenberg.org/ebooks/23962
project_gutenberg,The Lost World,Arthur Conan Doyle,https://www.gutenberg.org/ebooks/139
project_gutenberg,The Blue Fairy Book,Andrew Lang,https://www.gutenberg.org/ebooks/503
project_gutenberg,Poirot Investigates,Agatha Christie,https://www.gutenberg.org/ebooks/61262
project_gutenberg,Adventures of Sherlock Holmes,Arthur Conan Doyle,https://www.gutenberg.org/ebooks/48320
project_gutenberg,Le tour du monde en quatre-vingts jours (French),Jules Verne,https://www.gutenberg.org/ebooks/20973
project_gutenberg,Heart of the World,H. Rider Haggard,https://www.gutenberg.org/ebooks/22454
project_gutenberg,"The Journals of Lewis and Clark, 1804-1806",Meriwether Lewis and William Clark,https://www.gutenberg.org/ebooks/8419
project_gutenberg,Tom Swift in the Land of Wonders,Victor Appleton,https://www.gutenberg.org/ebooks/22952
project_gutenberg,The Secret of Chimneys,Agatha Christie,https://www.gutenberg.org/ebooks/65238
project_gutenberg,"The Lusiad; Or, The Discovery of India, an Epic Poem",Luís de Camões,https://www.gutenberg.org/ebooks/32528
project_gutenberg,"Arsène Lupin, gentleman-cambrioleur (French)",Maurice Leblanc,https://www.gutenberg.org/ebooks/32854
project_gutenberg,The Legends of King Arthur and His Knights,Sir Thomas Malory and Sir James Knowles,https://www.gutenberg.org/ebooks/12753
project_gutenberg,"Thuvia, Maid of Mars",Edgar Rice Burroughs,https://www.gutenberg.org/ebooks/72
project_gutenberg,Lord Jim,Joseph Conrad,https://www.gutenberg.org/ebooks/5658
project_gutenberg,The Yeoman Adventurer,George W. Gough,https://www.gutenberg.org/ebooks/7326
project_gutenberg,Library of the World's Best Mystery and Detective Stories,,https://www.gutenberg.org/ebooks/12758
project_gutenberg,The Adventurous Simplicissimus,Hans Jakob Christoph von Grimmelshausen,https://www.gutenberg.org/ebooks/33858
project_gutenberg,The Arabian Nights Entertainments,Andrew Lang,https://www.gutenberg.org/ebooks/128
project_gutenberg,The Scarlet Pimpernel,Baroness Emmuska Orczy Orczy,https://www.gutenberg.org/ebooks/60
project_gutenberg,Folk-Tales of Bengal,Lal Behari Day,https://www.gutenberg.org/ebooks/38488
project_gutenberg,"The Story of Little Black Sambo, and The Story of Little Black Mingo",Helen Bannerman,https://www.gutenberg.org/ebooks/1330
project_gutenberg,The Virginian: A Horseman of the Plains,Owen Wister,https://www.gutenberg.org/ebooks/1298
project_gutenberg,Captain Blood,Rafael Sabatini,https://www.gutenberg.org/ebooks/28944
project_gutenberg,The Empty House and Other Ghost Stories,Algernon Blackwood,https://www.gutenberg.org/ebooks/14471
project_gutenberg,The Secret Adversary,Agatha Christie,https://www.gutenberg.org/ebooks/1155
project_gutenberg,The Narrative of Arthur Gordon Pym of Nantucket,Edgar Allan Poe,https://www.gutenberg.org/ebooks/51060
project_gutenberg,Scouting for Boys,Baron Robert Stephenson Smyth Baden-Powell Baden-Powell of Gilwell,https://www.gutenberg.org/ebooks/65993
project_gutenberg,The case-book of Sherlock Holmes,Arthur Conan Doyle,https://www.gutenberg.org/ebooks/69700
project_gutenberg,Scaramouche: A Romance of the French Revolution,Rafael Sabatini,https://www.gutenberg.org/ebooks/28945
